site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/senior-supervisor-accounting-tax-2860547?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=9,null,SENIOR SUPERVISOR ACCOUNTING & TAX,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Bekasi - Jatibening		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Pendidikan min D III</li>
	<li>Pengalaman min 3 tahun sebagai supervisor akunting dan perpajakan</li>
	<li>Dapat menyusun laporan keuangan bulan</li>
	<li>Dapat menangani laporan pajak bulanan dan tahunan</li>
	<li>Mampu menganalisa, mengarahkan, dan mengevaluasi sistem kerja akunting untuk pengelolaan laporan keuangan perusahaan</li>
	<li>Usia mak 35 tahun</li>
	<li>Memahami perpajakan terkini</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/design-grafis-officer-2860548?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=8,null,Design Grafis Officer (Internship),null,"
		 	Less than 1 year experience		","
			Indonesia - Jakarta Raya - Jakarta Timur - Jl. Manunggal II No.4, Cipinang Melayu, Makasar, K		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least SMU in Art/Design/Creative Multimedia or equivalent.</li>
	<li>No work experience required.</li>
	<li>Required Skill(s): Memiliki kemampuan membuat desain untuk iklan, Memiliki kemampuan membuat content video yang menarik, Mampu membuat desain content landing page, Tertarik dengan dunia property syariah</li>
	<li>Preferably Less than 1 year experience specialized in Arts/Creative/Graphics Design or equivalent.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/chief-produksi-2860549?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=7,null,CHIEF PRODUKSI,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Cikarang - Kws. MM2100 Cibitung		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must be possess at least a Diploma, Bachelor's Degree in Engineering Electrical/Electronic, Engineering Mechanical, Engineering Mechatronic/Electromechanical or equivalent</li>
	<li>Able to arrange production schedule</li>
	<li>Able to maintain production procedure</li>
	<li>Have skill in supervising and motivating the team to read production target</li>
	<li>Able to speak English (Minimum : Pasif)</li>
	<li>At least 5 year (s) of working experience in the related field.</li>
	<li>Strong Leadership</li>
	<li><strong>Would be placed in MM2100 Cibitung – Bekasi</strong></li>
</ul>

<div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/telemarketer-2860390?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=6,null,TELEMARKETER,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Pusat - CIKINI		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Diploma di bidang apapun.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: • Pengalaman menjadi telemarketer/ telemarketing/ sales. • Memiliki kemampuan berkomunikasi via telepon dengan baik. • Memiliki kemampuan dasar Microsoft Excel. • Memiliki tingkat ketelitian membuat laporan dengan baik. • Memiliki kemampuan bahasa Inggris pasif terutama dalam membaca dokumen Bahasa Inggris. • Memiliki kemampuan untuk analisa dan membuat strategi ketika menawarkan produk. • Memiliki kemampuan proaktif dalam mengerjakan tugas.</li>
	<li>Tugar Telemarketer:
	<ul>
		<li>Mengidentifikasi prospek dari database yang telah disediakan.</li>
		<li>Menelpon prospek dan menawarkan produk IT B2B, seperti server, storage, software, virtualisasi, analytics dan sebagainya.</li>
		<li>Mempengaruhi prospek agar tertarik untuk membeli produk IT B2B.</li>
		<li>Mengirimkan email promosi atau brosur kepada prospek.</li>
		<li>Dapat kreatif dalam mengembangkan telescript yang telah disediakan.</li>
		<li>Proaktif dalam menjalankan tugas sebagai telemarketer.</li>
		<li>Bekerja berdasarkan target yang disepakati bersama.</li>
		<li>Melengkapi database jika terdapat database yang datanya telah expired.</li>
		<li>Mengerjakan laporan menelpon setiap hari menggunakan Microsoft Excel.</li>
		<li>Memfollow up hasil telepon/ email prospek dengan proaktif untuk memperoleh target yang ditentukan.</li>
	</ul>
	</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Sales - Telesales/Telemarketing atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-manager-2860550?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=5,null,Sales Manager,null,"
			Min 5 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Maximum 40 Years Old</li>
	<li style=""text-align:justify"">Posses at least Bachelor Degree of any major</li>
	<li style=""text-align:justify"">Excellent in marketing property knowledge in Jabotabek</li>
	<li style=""text-align:justify"">At least 5 years experience in Sales &amp; Marketing Division in property industry</li>
	<li style=""text-align:justify"">Proven  track record in creating trade plan to increase sales plan</li>
	<li style=""text-align:justify"">Energetic, good communication and interpersonal skill</li>
	<li style=""text-align:justify"">Full-Time positions available.</li>
</ul>

<div style=""text-align:justify""> </div>

<div style=""text-align:justify""><strong>Responsibilities</strong></div>

<div style=""text-align:justify""> </div>

<ul>
	<li style=""text-align:justify"">Formulate and execute sale strategies with hands-on manner</li>
	<li style=""text-align:justify"">Coach and direct the sales team to ensure sales target achieved</li>
	<li style=""text-align:justify"">Analysis of customer research, current market conditions and competitor information</li>
	<li style=""text-align:justify"">Develop implement sales plans and projects</li>
	<li style=""text-align:justify"">Monitor, review, and report on all sales activity and results</li>
	<li style=""text-align:justify"">Oriented to sales targets</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-teknisi-pontianak-singkawang-2860543?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=4,null,Supervisor Teknisi (Pontianak & Singkawang),null,"
			Min 3 years (Supervisor/Coordinator) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div><div style=""text-align: justify;""><strong>Supervisor Teknisi Gedung  (Singkawang &amp; Pontianak)</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Job Desk :</strong></div><ul><li style=""text-align: justify;"">Dapat mengelola gedung</li><li style=""text-align: justify;"">Dapat menganalisis dan problem solving</li><li style=""text-align: justify;"">Memimpin dan mengarahkan SDM yang menjadi pengawasannya baik kinerja dan disiplin kerja.</li><li style=""text-align: justify;"">Membuat analisa kebutuhan reparasi dan pengadaan baru pada perangkat kerja.</li></ul><div style=""text-align: justify;""><strong>Kualifikasi :</strong></div><ul><li style=""text-align: justify;"">Usia maksimal 45 tahun</li><li style=""text-align: justify;"">Pendidikan Min STM/SMK Jurusan Teknik</li><li style=""text-align: justify;"">Kesehatan dalam keadaan prima</li><li style=""text-align: justify;"">Berpengalaman Gedung min 3 Tahun</li><li style=""text-align: justify;"">Dapat Memahami fungsi Utility gedung ( Travo, LVMDP, Genset, HVAC, STP )</li><li style=""text-align: justify;"">Menguasai Mechanical, Electrical, Administrasi, dan mengetahui pekerjaan sipil serta mampu menyusun SOP gedung dan melaksanakan preventife maintenance</li><li style=""text-align: justify;"">Memiliki Kemampuan memimpin, komunikatif, bernegosiasi, bersosialisasi, berfikiri sistematis, dan mampu bekerja dibawah tekanan</li><li style=""text-align: justify;"">Domisili Singkawang &amp; Pontianak Diutamakan</li></ul></div><div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-gt-deodorant-parfum-2860531?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=20,null,"SALES GT - DEODORANT, PARFUM",null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<ul>
	<li>Kandidat memiliki pengalaman minimal 1 TAHUN di PARFUM / DEODORANT / KECANTIKAN</li>
	<li>Kandidat setidaknya SMA.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Penjualan - Retail/Umum atau setara.</li>
	<li>Mampu bekerja dngan Target</li>
	<li> bagi yg pernah bekerja di sales  Customer Good di utamakan</li>
	<li>Dapat bekerjasama dengan team</li>
	<li> Jujur</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/hrga-officer-2860533?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=19,null,HRGA Officer,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Barat - Bekasi		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Kualifikasi    </strong>                       :</div>

<ul>
	<li>Non Pengalaman / Pengalaman min.1 Tahun (Fresh Graduate from reputable university are welcome to apply)</li>
	<li>Pendidikan min.S1 Psikologi / Manajemen / Administrasi ( IPK min.3,00 )</li>
	<li>Memiliki kemampuan komunikasi yang baik</li>
	<li>Tegas, mandiri, dan berinisiatif</li>
	<li>Memahami proses rekrutmen dan dapat mengadministrasikan alat tes dengan baik</li>
	<li>Berpengalaman dalam melakukan training karyawan</li>
	<li>Sanggup bekerja dengan deadline</li>
	<li>Diutamakan bisa mengemudikan mobil dan memiliki SIM A+C</li>
</ul>

<div> </div>

<div><strong>Tugas dan Tanggung Jawab</strong> :</div>

<ul>
	<li>Melaksanakan tugas administrasi personalia dan General Affairs termasuk update employee database</li>
	<li>Mempersiapkan perjanjian kerja dan kontrak kerja karyawan dan melakukan update masa berlaku perjanjian / kontrak kerja yang ada</li>
	<li>Membantu HR &amp; GA Manager dalam mengelola dan mengembangkan SDM secara berkesinambungan</li>
	<li>Melaksanakan serangkaian proses rekrutmen dan seleksi</li>
	<li>Mengerjakan tugas payroll system dan benefits karyawan</li>
</ul>

<div> </div>

<div><strong>Benefits</strong>                                 :</div>

<ul>
	<li>Gaji</li>
	<li>BPJS ( Ketenagakerjaan &amp; Kesehatan )</li>
	<li>Pelatihan</li>
	<li>Jenjang Karier</li>
</ul>

<div><strong>PENEMPATAN                         : BEKASI</strong></div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-hr-legal-2860248?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=3,null,Staff HR Legal,null,"
			Min 5 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Timur - Sidoarjo - Waru sidoarjo		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Gelar Sarjana di Hukum atau setara.</li>
	<li>Setidaknya memiliki 5 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: Usia maksimal 35 tahun, Diutamakan laki, Pengalaman min 5 tahun, Memiliki kemampuan komunikasi dan negosiasi yang baik, Mengerti dan memahami hukum perdata, pidana dan ketenagakerjaan</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Hukum/Pelayanan Legal atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/qs-engineer-me-2860553?fr=J&searchRequestToken=b638eba5-46e8-4e3a-9caa-783f785d42a6&sectionRank=2,null,QS ENGINEER (ME),null,"
			Min 4 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - APL Central Park		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>We are currently looking for an experienced QS Engineer (ME) in apartment/ high rise building/ infrastructure.</div>

<div> </div>

<div><strong>JOB RESPONSIBILITIES:</strong> </div>

<div> </div>

<div>Tender Stage</div>

<ul>
	<li>Attend to aanwijdzing meeting</li>
	<li>Review drawing (architecture/structure)</li>
	<li>Calculate quantity based on drawing and compare with BQ by Owner/Consultant</li>
	<li>Make a price analysis</li>
	<li>Negotiate with supplier and sub-contractor for getting competitive price</li>
	<li>Value Engineering</li>
	<li>Prepare tender document</li>
</ul>

<div> </div>

<div>Construction Stage</div>

<ul>
	<li>Prepare cost for project</li>
	<li>Negotiate cost for project</li>
	<li>Coordinate and Negotiate with Supplier and Sub Contractor</li>
	<li>Cost control</li>
	<li>Cost reporting during project construction</li>
	<li>Final cost report</li>
	<li>Value Engineering</li>
</ul>

<div> </div>

<div> </div>

<div><strong>REQUIREMENTS:</strong></div>

<ul>
	<li>Minimum Bachelor's Degree in Mechanical or Electrical  Engineering from reputable university.</li>
	<li>Having experience more than 4 years as QS in apartment/ high rise building/ infrastructure.</li>
	<li>Highly self-initiative, good team player, hardworking and able to work under pressure.</li>
	<li>Fluency in English spoken and written.</li>
	<li>Can operate AutoCAD, MS Office.</li>
	<li>Good knowledge of materials, supplier and subcontractor.</li>
</ul>

<div> </div>

<div><strong>HOW TO APPLY</strong>:</div>

<ul>
	<li>if you interested in joining our talented team, send us your current CV in ENGLISH ONLY.</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/marketing-staff-2860551?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=1,null,Marketing Staff,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Grogol Petamburan		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Diploma in Marketing or equivalent.</li>
	<li>At least 1 Year(s) of working experience in the related field is required for this position.</li>
	<li>Required Skill(s): communication</li>
	<li>Preferably Staff (non-management &amp; non-supervisor) specialized in Marketing/Business Development or equivalent.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-gt-deodorant-parfum-2860531?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=20,null,"SALES GT - DEODORANT, PARFUM",null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<ul>
	<li>Kandidat memiliki pengalaman minimal 1 TAHUN di PARFUM / DEODORANT / KECANTIKAN</li>
	<li>Kandidat setidaknya SMA.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Penjualan - Retail/Umum atau setara.</li>
	<li>Mampu bekerja dngan Target</li>
	<li> bagi yg pernah bekerja di sales  Customer Good di utamakan</li>
	<li>Dapat bekerjasama dengan team</li>
	<li> Jujur</li>
</ul>
</div> </div>"
