site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/driver-ekspedisi-2860584?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=11,null,Driver Ekspedisi,null,"
			Min 3 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li style=""text-align:justify"">Mengantarkan barang ke cabang / tempat tujuan sesuai yang ditugaskan</li>
	<li style=""text-align:justify"">Merawat dan menjaga kendaraan dan barang yang dibawa sampai ke tempat tujuan dalam kondisi baik</li>
	<li style=""text-align:justify"">Bertanggung jawab atas kendaraan dan barang yang dibawa sampai ke tempat tujuan</li>
	<li style=""text-align:justify"">Membuat laporan kunjungan cabang</li>
</ul>

<div style=""text-align:justify""><strong>KUALIFIKASI :</strong></div>

<ul>
	<li style=""text-align:justify"">Pendidikan minimal SMA sederajat.</li>
	<li style=""text-align:justify"">Usia maksimal 35 tahun.</li>
	<li style=""text-align:justify"">Memiliki SIM B1 aktif.</li>
	<li style=""text-align:justify"">Pengalaman sebagai driver mobil box/engkel minimal 3 tahun.</li>
	<li style=""text-align:justify"">Menguasai wilayah Jabodetabek.</li>
	<li style=""text-align:justify"">Berpenampilan rapi dan bersih.</li>
	<li style=""text-align:justify"">Disiplin, jujur, sopan bertanggung jawab, cekatan dan teliti.</li>
	<li style=""text-align:justify"">Bersedia untuk kerja lembur.</li>
	<li style=""text-align:justify"">Penempatan Palmerah.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/event-organizer-2860585?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=10,null,EVENT ORGANIZER,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Sulawesi Utara - Manado		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities</strong><strong>:</strong></div>

<div> </div>

<ul>
	<li>Mempersiapkan segala kebutuhan sebuah acara</li>
	<li>membuat strategi, dan rancangan rencana aktivasi.</li>
	<li>Mendesign  dan mengelola seputar jadwal acara</li>
	<li>Membantu mensukseskan acara</li>
	<li>Mengawasi sebuah acara</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Berpenampilan Menarik</li>
	<li>Pendidikan minimal S1 segala jurusan</li>
	<li>Memiliki pengalaman sebagai Event Organizer atau Event Planning Analyst.</li>
	<li>Ahli dalam pembuatan dan pelaksanaan Event.</li>
	<li>Mampu mendesign suatu event dengan daya kreativitas tinggi.</li>
	<li>Mampu berkoordinasi dengan bagian internal maupun eksternal.</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-2860586?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=9,null,Staff,null,"
			Min 1 year (Manager/Assistant Manager) 
		","
			Indonesia - Jawa Barat - Bandung		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya SMA di Teknik (Ilmu Materi) atau setara.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia, English</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Lebih disukai Manajer/Asisten Manajer khusus dalam Clerical/Staf Admin atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/body-checking-karyawati-2860587?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=8,null,Body Checking karyawati,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya SMA di bidang apapun.</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: teliti, security, rajin, jujur</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Lainnya/Kategori tidak tersedia atau setara.</li>
	<li>Melakukan Body Checking Untuk para karyawati</li>
	<li>Melakukan Pemeriksaaan terhadap benda yang di bawa (Tas,Dompet,alat make up) untuk para karyawati</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/brand-manager-cosmetics-2860589?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=7,null,Brand Manager Cosmetics,null,"
			Min 3 years (Manager/Assistant Manager) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>REQUIREMENTS</strong></div>

<ul>
	<li>
	<div>Someone with min bachelor degree</div>
	</li>
	<li>
	<div>Min 3 years working experience in relevant field in Consumer Goods (Cosmetics)</div>
	</li>
	<li>
	<div>Has strong critical thinking skills and creativity</div>
	</li>
	<li>
	<div>Able to work in a team</div>
	</li>
	<li>
	<div>Strong communication skills to increase the value, performance, brand and image</div>
	</li>
	<li>
	<div>Able to initiate plan, develop and direct marketing effort for the company for new or existing products</div>
	</li>
	<li>
	<div>have an instinctive feeling about future product concepts</div>
	</li>
	<li>
	<div>be a team leader, able to inspire others</div>
	</li>
	<li>
	<div>be able to manage different projects at the same time</div>
	</li>
	<li>
	<div>have good presentation skills.</div>
	</li>
	<li>
	<div>Fluent in English both written and spoken.</div>
	</li>
</ul>

<div> </div>

<div><strong>Job Description</strong></div>

<ul>
	<li>
	<div>Create innovative marketing campaigns and content to increase the awareness toward the brand potential segment.</div>
	</li>
	<li>
	<div>Creating and implementing an integrated creative &amp; cost-efficient marketing ideas together.</div>
	</li>
	<li>
	<div>Develop or refine a communications strategy.</div>
	</li>
	<li>
	<div>researching consumer markets, monitoring market trends.</div>
	</li>
	<li>
	<div>generating names for new and existing products and services, coming up with ideas for new packaging designs, including shape, size, colours, fonts and imagery</div>
	</li>
	<li>
	<div>overseeing the production of TV adverts, newspaper and magazine advertisements, direct mail packs, email campaigns, websites, exhibition stands, road shows and liaising with art designers, copywriters and media buyers</div>
	</li>
	<li>
	<div>supervising the sign off of marketing literature and campaigns, liaising with legal and compliance personnel, ensuring the designs and messages meet the company brand and regulatory guidelines</div>
	</li>
	<li>
	<div>monitoring product distribution and consumer reactions through focus groups and market research</div>
	</li>
	<li>
	<div>co-ordinating the launch programme to external customers as well as employees.</div>
	</li>
</ul>

<div> </div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/translater-2860590?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=6,null,TRANSLATER,null,"
		 	Less than 1 year experience		","
			Indonesia - Sulawesi Utara - Manado		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities</strong><strong>:</strong></div>

<div> </div>

<ul>
	<li>Membantu team dan person  dalam hal komunikasi korespondensi dengan pihak lain .</li>
	<li>Mendampingi Direksi /Management  apabila apabila bertemu dengan pihak dari Luar negeri/ China</li>
	<li>Korespondensi email dengan para stakeholder dan pihak pihak yang membutuhkan terjemahan</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Berpenampilan Menarik (usia maksimal 27 tahun)</li>
	<li>Pendidikian Minimal S1 Sederajat</li>
	<li>Memiliki Keterampilan Berbahasa Mandarin (Diprioritaskan)</li>
	<li>Mampu mengoperasikan Microsoft Office</li>
	<li>Komunikatif dan dapat bekerja dengan team</li>
	<li>Mampu bekerja dibawah Tekanan</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/social-media-specialist-2860593?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=5,null,Social Media Specialist,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Develop, implement and manage our social media strategy</li>
	<li>Responsible for manage and create social media content</li>
	<li>Measure the success of every social media campaign</li>
	<li>Collaborate with Marketing, Sales, Editorial, and Product Development teams</li>
</ul>

<div>Requirements:</div>

<ul>
	<li>
	<div>Bachelor Degree from any Major, max 27 years old</div>
	</li>
	<li>
	<div>Preferred with experience as a Social Media Specialist or similar role</div>
	</li>
	<li>
	<div>Social Media savvy</div>
	</li>
	<li>
	<div>Critical thinker and problem-solving skills</div>
	</li>
	<li>
	<div>Good time-management skills</div>
	</li>
	<li>
	<div>Great interpersonal and communication skills</div>
	</li>
	<li>
	<div>
	<div>
	<div>Excellent multitasking skills</div>

	<div> </div>

	<div> </div>
	</div>
	</div>
	</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/marketing-staff-2860571?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=20,null,Marketing Staff,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Mangga Besar		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Tanggung Jawab Utama :</strong></div>

<div> </div>

<ul>
	<li>Mempersiapkan penawaran-penawaran harga untuk pelanggan dan calon pelanggan.</li>
	<li>Melakukan follow up kepada customer berkaitan penawaran yang telah diberikan.</li>
	<li>Menghadiri pertemuan-pertemuan tender mewakili perusahaan.</li>
	<li>Menjaga kemitraan dan menjalin hubungan baik dengan customer dan calon customer.</li>
</ul>

<div> </div>

<div><strong>Kriteria :</strong></div>

<div> </div>

<ul>
	<li>Maksimal 35 tahun.</li>
	<li>Lulusan S1 Teknik Sipil.</li>
	<li>Pengalaman Minimal 2 Tahun. </li>
	<li>Mempunyai pengalaman dalam perusahaan pondasi tiang pancang diutamakan.</li>
	<li>Biasa menggunakan komputer, internet dan Microsoft Office.</li>
	<li>Mampu membina hubungan baik dengan customer dan calon customer. </li>
	<li>Penempatan di Jakarta Barat.</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-engineering-2860572?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=19,null,SUPERVISOR ENGINEERING,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Banten - Cikupa		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>JOB DESCRIPTION</strong></div>

<ul>
	<li>Memastikan program kerja di Dept. Engineering sesuai dengan target.</li>
	<li>Mengkoordinasikan implementasi preventive maintenance.</li>
	<li>Memastikan maintenance dilakukan sesuai dengan schedule.</li>
	<li>Melakukan trouble shooting terhadap kerusakan mesin.</li>
	<li>Mengkoordinir pekerjaan teknisi.</li>
	<li>Membuat dan membantu kelancaran proses produksi.</li>
	<li>Memastikan teamnya menjalankan tugasnya masing-masing sesuai dengan SOP.</li>
	<li>Merawat peralatan kerja dan tooling yang digunakan di area kerja.</li>
	<li>Bekerja sama dengam Team Produksi / QC / Store atau department terkait untuk melakukan continuous improvement</li>
	<li>Menerapkan program kerja 5R di area kerja</li>
</ul>

<div> </div>

<div><strong>Kualifikasi:</strong></div>

<ul>
	<li>Usia min. 35 tahun</li>
	<li>Pendidikan min. S1 Teknik</li>
	<li>Mempunyai pengalaman min. 3 tahun di bidangnya.</li>
	<li>Memiliki pengetahuan yang baik untuk mengelola dan mengendalikan organisasi</li>
	<li>Pekerja keras, jujur, ulet, dan bisa memberi perubahan dalam kinerja dibagiannya ke arah yang lebih baik dan berkembang.</li>
	<li>Target oriented, bertanggungjawab, dan team player.</li>
	<li><strong>Bersedia ditempatkan di wilayah Tangerang</strong></li>
</ul>

<div> </div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/system-and-procedure-officer-2860573?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=18,null,System and Procedure Officer,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Banten - Tangerang - BSD City		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Membuat policy / regulasi dari departemen terkait</li>
	<li>Melakukan sosialisasi policy / regulasi</li>
	<li>Melakukan evaluasi atau pengkinian policy / regulasi</li>
</ul>

<div>
<div>Job Requirements:</div>
</div>

<ul>
	<li>Age max. 28 years old</li>
	<li>Min. S1 dari segala jurusan</li>
	<li>Min. 1 tahun pengalaman di bidang yang sama</li>
	<li>Memiliki pengetahuan tentang regulasi multifinance</li>
	<li>Mampu menerapkan logika ke bentuk tulisan yang tertata</li>
	<li>Mampu berbahasa inggris secara lisan maupun tulisan</li>
	<li>Mampu bekerja di dalam tim, timeline, dan tekanan</li>
	<li>Memiliki komunikasi dan inisiatif yang baik</li>
	<li>Penempatan di BSD City, Tangerang Selatan</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/spv-marketing-communication-2860574?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=17,null,Spv Marketing Communication,null,"
			Min 2 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Tengah - Surakarta - Ronggowarsito, Banjarsari		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Gelar Sarjana di bidang apapun.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: Berpengalaman menggunakan dan campaign di online marketing/social media, Kreatif dan inovatif, mampu membaca tren pasar, mengembangkan ide produk yang paling hits di pasar, Menyukai tantangan, target oriented, bisa bekerja dibawah tekanan, mampu bekerja dengan baik secara individu maupun team</li>
	<li>Lebih disukai Supervisor/Koordinator khusus dalam Makanan/Minuman/Pelayanan Restoran atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/crew-restaurant-kitchen-counter-lampung-2860579?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=16,null,Crew Restaurant (Kitchen Counter) Lampung,null,"
		 	Less than 1 year experience		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Kualifikasi :</div>

<ul>
	<li>Usia Max 25 tahun</li>
	<li>Min SMA/SMK/Sederajat bukan Paket C</li>
	<li>Min TB (L) 165 cm, (W) 158 cm</li>
	<li>Penampilan bersih, menarik dan tidak bertato</li>
	<li>Bersedia bekerja shift termasuk hari libur</li>
	<li>bersedia mengikuti training diluar kota (ditanggung perusahaan)</li>
</ul>

<div>Fasilitas : Gaji pokok diatas UMK, Insentif, BPJS ketenagakerjaan, BPJS kesehatan, Jaminan pensiun, jenjang Karier</div>
</div> </div>"
